Abraham Simpson,324543,A
Agnes Skinner,470546,B
Akira Kurosawa,411928,B
Alice Glick,459608,C
Allison Taylor,747954,D
Apu Nahasapeemapetilon,290816,F
Artie Ziff,245446,A
Baby Gerald,155387,A
Barney Gumble,262592,A
Bart Simpson,753102,D
Bernice Hibbert,242653,A
Brandine Spuckler,584416,B
Bumblebee Man,603577,A
Carl Carlson,241968,B
Chazz Busby,362030,B
Cletus Spuckler,653783,C
Comic Book Guy,234272,D
Dewey Largo,910346,F
Disco Stu,736389,A
Dolph Starbeam,829982,A
Drederick Tatum,937537,A
Edna Krabappel,877842,D
Elizabeth Hoover,389470,A
Gil Gunderson,383513,B
Gloria Jailbird,601956,A
Groundskeeper Willie,774965,B
Hans Moleman,217944,B
Helen Lovejoy,686009,C
Herman Hermann,164996,D
Homer Simpson,413084,F
Jacqueline Bouvier,522856,A
Janey Powell,919159,A
Jasper Beardly,417008,A
Jessica Lovejoy,667331,D
Jimbo Jones,718588,A
Johnny Tightlips,840329,B
Judge Roy Snyder,533451,A
Kearney Zzyzwicz,758048,B
Kent Brockman,568727,B
Kirk Van Houten,695606,C
Krusty The Clown,901832,D
Kumiko Albertson,339422,F
Lenny Leonard,562762,A
Lindsey Naegle,570423,A
Ling Bouvier,249669,A
Lionel Hutz,212516,D
Lisa Simpson,693664,A
Luann Van Houten,737447,B
Luigi Risotto,757705,A
Lunchlady Doris,895470,B
Maggie Simpson,712478,B
Manjula Nahasapeemapetilon,236261,C
Marge Simpson,695580,D
Martin Prince,575687,F
Maude Flanders,272754,A
Mayor Joe Quimby,425163,A
Milhouse Van Houten,619711,A
Miss Springfield,855862,D
Moe Szyslak,219634,A
Mona Simpson,419417,B
Ned Flanders,746703,A
Nelson Muntz,584760,B
Old Jewish Man,259301,B
Patty Bouvier,544545,C
Rabbi Hyman Krustofsky,374366,D
Rainier Wolfcastle,674248,F
Ralph Wiggum,414067,A
Rod Flanders,823458,A
Roger Meyers Jr.,313590,A
Ruth Powers,231018,D
Sarah Wiggum,920562,A
Sea Captain,544294,B
Selma Bouvier,217994,A
Seymour Skinner,434336,B
Shauna Chalmers,828516,B
Sideshow Mel,799960,C
Snake Jailbird,950955,D
Squeaky-Voiced Teen,194002,F
Surly Duff,146127,A
The Rich Texan,300288,A
Todd Flanders,257297,A
Troy McClure,394769,D
Uter Zorker,712465,A
Waylon Smithers,387433,B
Wendell Borton,677806,A
Wise Guy,134681,B
