Derek Stevens,9/28/1959
Brooke Rogers,8/30/1960
Vivian Lloyd,1/9/1961
Arianna Montgomery,9/19/1961
Edwin Kelley,3/30/1962
Preston Murray,8/4/1966
Jessica Alexander,9/7/1966
Daniel Jones,1/20/1969
April Perry,4/28/1972
James Payne,11/28/1974
Chelsea Murphy,11/25/1976
Owen Clark,9/22/1983
Myra Perry,2/12/1988
Ellia Craig,11/6/1991
Chelsea Armstrong,4/6/1994
Aiden Wells,10/2/1995
Emily Carter,1/22/1996
Sawyer Elliott,9/11/1996
Evelyn Tucker,10/7/1996
Ryan Bailey,9/15/1947
Lucy Gibson,5/19/1949
Kristian Harper,9/18/1950
Jenna Ferguson,3/18/1952
Lily Harris,3/23/1956
Freddie Moore,5/23/1947
Evelyn Alexander,5/26/1947
Aldus Johnston,12/8/1949
Catherine Davis,6/20/1956
Gianna Gibson,2/14/1958
Mike Spencer,6/8/1960
Nicole Andrews,11/5/1962
Arianna Perry,3/9/1964
Edith Richards,4/29/1965
Fenton Craig,4/28/1966
Martin Allen,8/25/1966
Eddy Cameron,11/18/1970
Luke Grant,12/3/1976
Harold Baker,12/10/1981
Florrie Brooks,2/27/1984
Michelle Armstrong,4/30/1984
Max Robinson,8/1/1985
Arthur Holmes,7/14/1988
Michael Higgins,5/18/1989
Antony Perry,11/6/1989
Evelyn Ryan,7/31/1995
Steven Harris,12/24/1999
Joyce Moore,11/15/1943
Arthur Smith,3/28/1945
Andrew Hall,9/14/1945
Isabella Elliott,3/15/1941
Savana Morgan,11/28/1942
John Nelson,12/23/1943
Preston Myers,4/11/1951
Camila Hall,1/27/1953
Myra Wells,5/5/1953
Kirsten Harper,4/1/1955
Sarah Edwards,7/13/1955
Albert Ryan,10/20/1955
Alina Holmes,1/16/1958
Elian Alexander,6/15/1964
Vincent Hawkins,10/18/1968
Rubie Payne,8/10/1972
Justin Watson,8/17/1973
Tara Gibson,12/13/1973
April West,10/18/1976
Isabella Watson,7/7/1977
Aiden Cole,10/11/1977
Julian Warren,5/12/1978
Arnold Carter,7/15/1978
Aldus Scott,10/24/1980
Sabrina Cole,6/18/1984
Ashton Hunt,1/7/1989
Garry Murray,10/11/1989
Rosie Dixon,12/14/1998
Chelsea Douglas,11/18/1941
Alisa Brown,7/27/1945
Alissa Warren,8/26/1945
Marcus Clark,4/26/1946
George Parker,2/25/1953
Agata Cooper,3/31/1956
Daisy Baker,4/19/1956
Kevin Russell,12/22/1966
Vincent Sullivan,12/24/1967
Madaline Wells,11/1/1968
Deanna Roberts,5/20/1969
Melissa Johnston,8/29/1970
Walter Jones,9/9/1970
Tiana Harris,9/1/1971
Lenny Farrell,3/1/1972
Gianna Owens,12/8/1976
Roman Spencer,6/7/1977
Roman Higgins,8/11/1979
Lucy Watson,8/26/1979
Oliver Morris,9/27/1984
Thomas Johnston,4/28/1985
Brianna Harrison,4/16/1987
Lilianna Hamilton,4/2/1989
Paul Alexander,1/26/1990
Rosie Smith,7/31/1996
Abraham Baker,3/5/1940
Ashton Alexander,12/24/1943
Chloe Evans,7/30/1949
Bruce Howard,11/6/1949
Sawyer Parker,5/27/1950
Chester Lloyd,7/1/1952
Nicholas Perry,9/20/1953
Harold Miller,10/27/1957
Valeria Cole,5/20/1962
Grace Howard,1/14/1965
Elise Henderson,5/15/1968
Michelle Howard,10/21/1971
Carl Cole,10/17/1983
Aiden Allen,2/13/1984
Richard Nelson,7/9/1987
Roland Dixon,4/29/1989
Amber Robinson,10/10/1989
Tony Scott,3/8/1992
Kelsey Fowler,8/10/1994
Elise Kelley,2/5/1995
Dainton Bailey,11/7/1997
Kevin Martin,11/3/1998
Preston Cole,12/17/1998
Maximilian Wilson,12/1/2000
Annabella Murphy,12/3/2000
Wilson Hawkins,9/18/1940
Adrian Farrell,12/6/1942
